Id,MSSubClass,LotArea,BldgType,OverallCond,TotalBsmtSF,SalePrice
0,60,8450,1Fam,5,856,208500
1,20,9600,1Fam,8,1262,181500
2,60,11250,1Fam,5,920,223500
3,70,9550,1Fam,5,756,140000
4,60,14260,1Fam,5,1145,250000
5,50,14115,1Fam,5,796,143000
6,20,10084,1Fam,5,1686,307000
7,60,10382,1Fam,6,1107,200000
8,50,6120,1Fam,5,952,129900
9,190,7420,2fmCon,6,991,118000
10,20,11200,1Fam,5,1040,129500
11,60,11924,1Fam,5,1175,345000
12,20,12968,1Fam,6,912,144000
13,20,10652,1Fam,5,1494,279500
14,20,10920,1Fam,5,1253,157000
15,45,6120,1Fam,8,832,132000
16,20,11241,1Fam,7,1004,149000
17,90,10791,Duplex,5,0,90000
18,20,13695,1Fam,5,1114,159000
19,20,7560,1Fam,6,1029,139000
20,60,14215,1Fam,5,1158,325300
21,45,7449,1Fam,7,637,139400
22,20,9742,1Fam,5,1777,230000
23,120,4224,TwnhsE,7,1040,129900
24,20,8246,1Fam,8,1060,154000
25,20,14230,1Fam,5,1566,256300
26,20,7200,1Fam,7,900,134800
27,20,11478,1Fam,5,1704,306000
28,20,16321,1Fam,6,1484,207500
29,30,6324,1Fam,6,520,68500
30,70,8500,1Fam,4,649,40000
31,20,8544,1Fam,6,1228,149350
32,20,11049,1Fam,5,1234,179900
33,20,10552,1Fam,5,1398,165500
34,120,7313,TwnhsE,5,1561,277500
35,60,13418,1Fam,5,1117,309000
36,20,10859,1Fam,5,1097,145000
37,20,8532,1Fam,6,1297,153000
38,20,7922,1Fam,7,1057,109000
39,90,6040,Duplex,5,0,82000
40,20,8658,1Fam,5,1088,160000
41,20,16905,1Fam,6,1350,170000
42,85,9180,1Fam,7,840,144000
43,20,9200,1Fam,6,938,130250
44,20,7945,1Fam,6,1150,141000
45,120,7658,TwnhsE,5,1752,319900
46,50,12822,1Fam,5,1434,239686
47,20,11096,1Fam,5,1656,249700
48,190,4456,2fmCon,5,736,113000
49,20,7742,1Fam,7,955,127000
50,60,13869,1Fam,6,794,177000
51,50,6240,1Fam,6,816,114500
52,90,8472,Duplex,5,816,110000
53,20,50271,1Fam,5,1842,385000
54,80,7134,1Fam,5,384,130000
55,20,10175,1Fam,5,1425,180500
56,160,2645,Twnhs,5,970,172500
57,60,11645,1Fam,5,860,196500
58,60,13682,1Fam,5,1410,438780
59,20,7200,1Fam,7,780,124900
60,20,13072,1Fam,5,1158,158000
61,75,7200,1Fam,7,530,101000
62,120,6442,TwnhsE,5,1370,202500
63,70,10300,1Fam,6,576,140000
64,60,9375,1Fam,5,1057,219500
65,60,9591,1Fam,5,1143,317000
66,20,19900,1Fam,5,1947,180000
67,20,10665,1Fam,5,1453,226000
68,30,4608,1Fam,6,747,80000
69,50,15593,1Fam,4,1304,225000
70,20,13651,1Fam,6,2223,244000
71,20,7599,1Fam,6,845,129500
72,60,10141,1Fam,5,832,185000
73,20,10200,1Fam,7,1086,144900
74,50,5790,1Fam,6,840,107400
75,180,1596,Twnhs,5,462,91000
76,20,8475,1Fam,7,952,135750
77,50,8635,1Fam,5,672,127000
78,90,10778,Duplex,5,1768,136500
79,50,10440,1Fam,6,440,110000
80,60,13000,1Fam,6,896,193500
81,120,4500,TwnhsE,5,1237,153500
82,20,10206,1Fam,5,1563,245000
83,20,8892,1Fam,5,1065,126500
84,80,8530,1Fam,5,384,168500
85,60,16059,1Fam,5,1288,260000
86,60,11911,1Fam,5,684,174000
87,160,3951,TwnhsE,5,612,164500
88,50,8470,1Fam,2,1013,85000
89,20,8070,1Fam,5,990,123600
90,20,7200,1Fam,5,0,109900
91,20,8500,1Fam,3,1235,98600
92,30,13360,1Fam,7,876,163500
93,190,7200,2fmCon,6,1214,133900
94,60,9337,1Fam,5,824,204750
95,60,9765,1Fam,8,680,185000
96,20,10264,1Fam,5,1588,214000
97,20,10921,1Fam,5,960,94750
98,30,10625,1Fam,5,458,83000
99,20,9320,1Fam,5,950,128950
100,20,10603,1Fam,7,1610,205000
101,60,9206,1Fam,5,741,178000
102,90,7018,Duplex,5,0,118964
103,20,10402,1Fam,5,1226,198900
104,50,7758,1Fam,4,1040,169500
105,60,9375,1Fam,5,1053,250000
106,30,10800,1Fam,7,641,100000
107,20,6000,1Fam,5,789,115000
108,50,8500,1Fam,7,793,115000
109,20,11751,1Fam,6,1844,190000
110,50,9525,1Fam,4,994,136900
111,80,7750,1Fam,5,384,180000
112,60,9965,1Fam,5,1264,383970
113,20,21000,1Fam,5,1809,217000
114,70,7259,1Fam,8,1028,259500
115,160,3230,TwnhsE,5,729,176000
116,20,11616,1Fam,5,1092,139000
117,20,8536,1Fam,5,1125,155000
118,60,12376,1Fam,5,1673,320000
119,60,8461,1Fam,5,728,163990
120,80,21453,1Fam,5,938,180000
121,50,6060,1Fam,5,732,100000
122,20,9464,1Fam,7,1080,136000
123,120,7892,TwnhsE,5,1199,153900
124,20,17043,1Fam,5,1362,181000
125,190,6780,2fmCon,8,520,84500
126,120,4928,TwnhsE,5,1078,128000
127,45,4388,1Fam,7,672,87000
128,60,7590,1Fam,5,660,155000
129,20,8973,1Fam,7,1008,150000
130,60,14200,1Fam,6,924,226000
131,60,12224,1Fam,5,992,244000
132,20,7388,1Fam,6,1063,150750
133,20,6853,1Fam,5,1267,220000
134,20,10335,1Fam,6,1461,180000
135,20,10400,1Fam,6,1304,174000
136,20,10355,1Fam,5,1214,143000
137,90,11070,Duplex,5,1907,171000
138,60,9066,1Fam,5,1004,230000
139,60,15426,1Fam,5,928,231500
140,20,10500,1Fam,5,864,115000
141,20,11645,1Fam,5,1734,260000
142,50,8520,1Fam,4,910,166000
143,20,10335,1Fam,5,1490,204000
144,90,9100,Duplex,5,1728,125000
145,160,2522,Twnhs,5,970,130000
146,30,6120,1Fam,7,715,105000
147,60,9505,1Fam,5,884,222500
148,20,7500,1Fam,5,1080,141000
149,50,6240,1Fam,4,896,115000
150,20,10356,1Fam,6,969,122000
151,20,13891,1Fam,5,1710,372402
152,60,14803,1Fam,5,825,190000
153,20,13500,1Fam,7,1602,235000
154,30,11340,1Fam,5,1200,125000
155,50,9600,1Fam,5,572,79000
156,20,7200,1Fam,7,0,109500
157,60,12003,1Fam,5,774,269500
158,60,12552,1Fam,5,991,254900
159,60,19378,1Fam,5,1392,320000
160,20,11120,1Fam,6,1232,162500
161,60,13688,1Fam,5,1572,412500
